country,iso3,url,final_url,status,kind,bytes,local_path,no_local_copy_because
Rwanda,RWA,https://police.gov.rw/uploads/tx_download/Traffic_Law_2015_02.pdf,https://police.gov.rw/uploads/tx_download/Traffic_Law_2015_02.pdf,ok,pdf,1306992,documents/Rwanda/Traffic_Law_2015_02-a7e8ed2b.pdf,
Sao Tome and Principe,STP,https://dgrn.gov.st/leis/Lei/61_codigo_da_Estrada.pdf,https://dgrn.gov.st/leis/Lei/61_codigo_da_Estrada.pdf,ok,pdf,730159,documents/Sao-Tome-and-Principe/61_codigo_da_Estrada-37da86cc.pdf,
Saudi Arabia,SAU,https://www.spa.gov.sa/en/N2397478,https://www.spa.gov.sa/en/N2397478,ok,html,168480,documents/Saudi-Arabia/N2397478-4389cd23.html,
Senegal,SEN,https://actusen.sn/gratuite-de-limmatriculation-des-deux-roues-149-048-dossiers-enroles-dont-124-248-valides/,https://actusen.sn/gratuite-de-limmatriculation-des-deux-roues-149-048-dossiers-enroles-dont-124-248-valides/,ok,html,374905,documents/Senegal/gratuite-de-limmatriculation-des-deux-roues-149-048-dossiers-enroles-dont-124-24-206052af.html,
Sierra Leone,SLE,https://www.sierra-leone.org/Laws/2007-5p.pdf,https://www.sierra-leone.org/Laws/2007-5p.pdf,ok,pdf,181288,documents/Sierra-Leone/2007-5p-da15db5c.pdf,
South Korea,KOR,https://www.law.go.kr/LSW/lsInfoP.do?lsId=001749#0000,https://www.law.go.kr/LSW/lsInfoP.do?lsId=001749#0000,ok,html,145060,documents/South-Korea/lsInfoP-5f9d3809.html,
South Sudan,SSD,https://www.wto.org/english/thewto_e/acc_e/ssd_e/wtaccssd6_leg_51.pdf,https://www.wto.org/english/thewto_e/acc_e/ssd_e/wtaccssd6_leg_51.pdf,ok,pdf,593232,documents/South-Sudan/wtaccssd6_leg_51-d79272d1.pdf,
Sri Lanka,LKA,https://www.srilankalaw.lk/revised-statutes/alphabetical-list-of-statutes/732-motor-traffic-act.html,https://www.srilankalaw.lk/revised-statutes/alphabetical-list-of-statutes/732-motor-traffic-act.html,ok,html,79214,documents/Sri-Lanka/732-motor-traffic-act-65da5b6a.html,
Sudan,SDN,https://www.aljazeera.net/misc/2011/1/13/%D8%A7%D9%84%D8%B1%D9%83%D8%B4%D8%A9-%D8%AA%D8%BA%D8%B2%D9%88-%D8%B4%D9%88%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D8%AE%D8%B1%D8%B7%D9%88%D9%85,https://www.aljazeera.net/misc/2011/1/13/%D8%A7%D9%84%D8%B1%D9%83%D8%B4%D8%A9-%D8%AA%D8%BA%D8%B2%D9%88-%D8%B4%D9%88%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D8%AE%D8%B1%D8%B7%D9%88%D9%85,ok,html,544202,documents/Sudan/doc-0c4a9b78.html,
Syria,SYR,https://syrianobserver.com/foreign-actors/amid-high-fuel-prices-and-low-income-motorbike-taxi-service-in-azaz.html,https://syrianobserver.com/foreign-actors/amid-high-fuel-prices-and-low-income-motorbike-taxi-service-in-azaz.html,ok,html,111607,documents/Syria/amid-high-fuel-prices-and-low-income-motorbike-taxi-service-in-azaz-8a967a90.html,
Tanzania,TZA,https://allafrica.com/stories/201310080089.html,https://allafrica.com/stories/201310080089.html,http_error,,,,http_error
Tanzania,TZA,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,ok,pdf,582745,documents/Tanzania/2020-78-f5a62c9c.pdf,
Tanzania,TZA,https://tanzlii.org/en/akn/tz/act/gn/2020/78/eng@2020-02-07,https://tanzlii.org/en/akn/tz/act/gn/2020/78/eng@2020-02-07,http_error,,,,http_error
Tanzania,TZA,https://www.downtoearth.org.in/africa/solving-one-crisis-by-deepening-another-critics-question-tanzanias-decision-to-tax-imported-vehicles-and-fund-its-hiv-response,https://www.downtoearth.org.in/africa/solving-one-crisis-by-deepening-another-critics-question-tanzanias-decision-to-tax-imported-vehicles-and-fund-its-hiv-response,ok,html,883787,documents/Tanzania/solving-one-crisis-by-deepening-another-critics-question-tanzanias-decision-to-t-aadadfb1.html,
Tanzania,TZA,https://www.kaitu.ac.tz/best-bora-kaitu-driving-school-vtc-iringa-mafinga-tanzania-vocational-training-college-new-mpya-posts_35_tanzaniafocused-driving-questions-answers.php,https://www.kaitu.ac.tz/best-bora-kaitu-driving-school-vtc-iringa-mafinga-tanzania-vocational-training-college-new-mpya-posts_35_tanzaniafocused-driving-questions-answers.php,ok,html,36019,documents/Tanzania/best-bora-kaitu-driving-school-vtc-iringa-mafinga-tanzania-vocational-training-c-4dcaf7d4.html,
Tanzania,TZA,https://www.latra.go.tz/uploads/documents/sw-1668849864-WEBSITE-RIDE%20HAILING.pdf,https://www.latra.go.tz/uploads/documents/sw-1668849864-WEBSITE-RIDE%20HAILING.pdf,ok,pdf,347704,documents/Tanzania/sw-1668849864-WEBSITE-RIDE-HAILING-9fc2ad1f.pdf,
Tanzania,TZA,https://www.latra.go.tz/uploads/documents/sw-1737920488-PRIVATE%20HIRE%20SERVICES%20AMENDMENTS%202024.pdf,https://www.latra.go.tz/uploads/documents/sw-1737920488-PRIVATE%20HIRE%20SERVICES%20AMENDMENTS%202024.pdf,ok,pdf,338754,documents/Tanzania/sw-1737920488-PRIVATE-HIRE-SERVICES-AMENDMENTS-2024-4c26f152.pdf,
Tanzania,TZA,https://www.nps.go.tz/uploads/documents/sw-1751369942-The%20Motor%20Vehicles%20Insurance%20Act.pdf,https://www.nps.go.tz/uploads/documents/sw-1751369942-The%20Motor%20Vehicles%20Insurance%20Act.pdf,ok,pdf,572539,documents/Tanzania/sw-1751369942-The-Motor-Vehicles-Insurance-Act-c78b8542.pdf,
Tanzania,TZA,https://www.tbs.go.tz/uploads/files/LIST%20OF%20COMPULSORY%20TANZANIA%20STANDARD%20AS%20OF%20JULY%20%202022.pdf,https://www.tbs.go.tz/uploads/files/LIST%20OF%20COMPULSORY%20TANZANIA%20STANDARD%20AS%20OF%20JULY%20%202022.pdf,http_error,,,,http_error
Tanzania,TZA,https://www.tra.go.tz/images/uploads/acts/The_Road_Traffic_Act.pdf,https://www.tra.go.tz/images/uploads/acts/The_Road_Traffic_Act.pdf,ok,pdf,961236,documents/Tanzania/The_Road_Traffic_Act-a2950a1d.pdf,
The Gambia,GMB,https://standard.gm/when-laws-lose-their-purposethe-case-for-jakarta-operators-in-rural-gambia/,https://standard.gm/when-laws-lose-their-purposethe-case-for-jakarta-operators-in-rural-gambia/,http_error,,,,http_error
Togo,TGO,https://jo.gouv.tg/sites/default/files/JO/JOS_25_11_2023%20-%2068E%20ANNEE%20N%C2%B0%2086%20BIS.pdf,https://jo.gouv.tg/sites/default/files/JO/JOS_25_11_2023%20-%2068E%20ANNEE%20N%C2%B0%2086%20BIS.pdf,ok,pdf,6974182,documents/Togo/JOS_25_11_2023---68E-ANNEE-N-86-BIS-418cda50.pdf,
Tunisia,TUN,https://english.legal-agenda.com/public-transport-in-tunisia-daily-disintegration/,https://english.legal-agenda.com/public-transport-in-tunisia-daily-disintegration/,ok,html,115577,documents/Tunisia/public-transport-in-tunisia-daily-disintegration-7474319d.html,
Turkey,TUR,https://www.mevzuat.gov.tr/mevzuat?MevzuatNo=2918&MevzuatTur=1&MevzuatTertip=5,https://www.mevzuat.gov.tr/mevzuat?MevzuatNo=2918&MevzuatTur=1&MevzuatTertip=5,ok,html,67252,documents/Turkey/mevzuat-8f4f93c8.html,
Uganda,UGA,https://udls.co.ug/apply-for-your-full-driving-licence-step-by-step/,https://udls.co.ug/apply-for-your-full-driving-licence-step-by-step/,ok,html,130188,documents/Uganda/apply-for-your-full-driving-licence-step-by-step-953a3d6e.html,
Vietnam,VNM,https://en.vietnamplus.vn/new-decree-simplifies-rules-for-vehicle-inspection-centres-post307712.vnp,https://en.vietnamplus.vn/new-decree-simplifies-rules-for-vehicle-inspection-centres-post307712.vnp,ok,html,117271,documents/Vietnam/new-decree-simplifies-rules-for-vehicle-inspection-centres-post307712-36e1befc.html,
Vietnam,VNM,https://english.luatvietnam.vn/an-ninh-trat-tu/law-on-road-traffic-order-and-safety-2024-no-36-2024-qh15-360844-d1.html,https://english.luatvietnam.vn/an-ninh-trat-tu/law-on-road-traffic-order-and-safety-2024-no-36-2024-qh15-360844-d1.html,ok,html,396580,documents/Vietnam/law-on-road-traffic-order-and-safety-2024-no-36-2024-qh15-360844-d1-96d10bf4.html,
Vietnam,VNM,https://thuvienphapluat.vn/van-ban/EN/Giao-thong-Van-tai/Decree-158-2024-ND-CP-Road-Transport/644980/tieng-anh.aspx,https://thuvienphapluat.vn/van-ban/EN/Giao-thong-Van-tai/Decree-158-2024-ND-CP-Road-Transport/644980/tieng-anh.aspx,http_error,,,,http_error
Vietnam,VNM,https://thuvienphapluat.vn/van-ban/EN/Giao-thong-Van-tai/Law-36-2024-QH15-Road-Traffic-Order-and-Safety/620124/tieng-anh.aspx,https://thuvienphapluat.vn/van-ban/EN/Giao-thong-Van-tai/Law-36-2024-QH15-Road-Traffic-Order-and-Safety/620124/tieng-anh.aspx,http_error,,,,http_error
Vietnam,VNM,https://vietnamexploration.com/p/266/motorbike-guide/driving-a-motorcycle-in-vietnam,https://vietnamexploration.com/p/266/motorbike-guide/driving-a-motorcycle-in-vietnam,ok,html,27172,documents/Vietnam/driving-a-motorcycle-in-vietnam-37c25766.html,
Vietnam,VNM,https://www.fiafoundation.org/media/fgynmocd/aipf-10-year-helmet-law-report-final_r5_spreads.pdf,https://www.fiafoundation.org/media/fgynmocd/aipf-10-year-helmet-law-report-final_r5_spreads.pdf,ok,pdf,5433296,documents/Vietnam/aipf-10-year-helmet-law-report-final_r5_spreads-90a8074f.pdf,
Yemen,YEM,https://www.nbcnews.com/news/mideast/yemen-officials-seize-motorcycles-combat-al-qaeda-attacks-n230096,https://www.nbcnews.com/news/mideast/yemen-officials-seize-motorcycles-combat-al-qaeda-attacks-n230096,ok,html,255098,documents/Yemen/yemen-officials-seize-motorcycles-combat-al-qaeda-attacks-n230096-28e49837.html,
Zambia,ZMB,https://www.parliament.gov.zm/sites/default/files/documents/acts/Roads%20and%20Road%20Traffic%20Act.pdf,https://www.parliament.gov.zm/sites/default/files/documents/acts/Roads%20and%20Road%20Traffic%20Act.pdf,ok,pdf,3217719,documents/Zambia/Roads-and-Road-Traffic-Act-675110d4.pdf,
Zimbabwe,ZWE,https://bigsky.co.zw/wp-content/uploads/Road-Traffic-Act-Chapter-13-11-updated.pdf,,connection_error,,,,"HTTPSConnectionPool(host='bigsky.co.zw', port=443): Max retries exceeded with url: /wp-content/uploads/Road-Traffic-Act-Chapter-13-11-updated.pdf (Caused by NameResolutionError(""HTTPSConnection(host='"
Zimbabwe,ZWE,https://zimlii.org/akn/zw/act/1997/1/eng@2016-12-31,https://zimlii.org/akn/zw/act/1997/1/eng@2016-12-31,http_error,,,,http_error
